"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1925214649257230484","Wed May 21 15:38:35 +0000 2025","0","Menurut gua ya bagus dimasukkin barak kalau ga berbuat ulah juga anak anak pasti diajar sama pendidik kayak biasa.. Biarin biar ada pengalaman selama pengalamannya bagus kan biar disiplin ga manja semena mena biar ga nakal lagi jadi ada efek jera..","1925214649257230484","","","in","","0","0","0","https://x.com/undefined/status/1925214649257230484","1080844414430281730",
"1925214204740714846","Wed May 21 15:36:49 +0000 2025","0","Di indo biasanya kalau anak nakal di takut²in buat masuk pondok sekarang ada kemajuan meskipun cuma di jabar dengan dimasukin ke dalam barak militer","1925214204740714846","","","in","","0","0","0","https://x.com/undefined/status/1925214204740714846","1863541484282359808",
"1924490278527996200","Wed May 21 15:36:02 +0000 2025","0","@somexthread Di indo biasanya kalau anak nakal di takut²in buat masuk pondok sekarang ada kemajuan meskipun cuma di jabar dengan dimasukin ke dalam barak militer","1925214007818105220","","somexthread","in","","0","0","0","https://x.com/undefined/status/1925214007818105220","1863541484282359808",
"1925192186896973944","Wed May 21 15:35:09 +0000 2025","0","@hyperarin An yang penting nakal. Yg nakal masuk barak kata om dedi","1925213784702079385","","hyperarin","in","","0","0","0","https://x.com/undefined/status/1925213784702079385","1721835645751242752",
"1925212413873537181","Wed May 21 15:29:42 +0000 2025","1","WKWK nakal lg bnrn dibawa ke barak lho ntar‍↔️","1925212413873537181","","","in","","0","0","1","https://x.com/undefined/status/1925212413873537181","1711221234619584512",
"1925198791214555538","Wed May 21 14:35:34 +0000 2025","0","What if aku pura2 nakal biar laprak dikirim ke barak trus party2 bangun tidur sambil dengerin meddle about tolong jawab pertanyaanku wahai para sugdad","1925198791214555538","","","in","","0","0","0","https://x.com/undefined/status/1925198791214555538","1586291483141099520",
"1924793432574460240","Wed May 21 05:47:22 +0000 2025","0","@AyahnyaVia01 @Intisari69 @randomable_ 6m setahun buat barak ini ini baru angkatan pertama nanti selama ada tawuran dan anak nakal pasti tetep berlanjut dan dananya dari 6 m ini maksud mas nya pengen di rinci kali ya dari biaya makan biaya bayar TNI nya biaya sewa bus buat anak anak ke baraknya gitu kah??","1925065864879210935","","AyahnyaVia01","in","","0","1","0","https://x.com/undefined/status/1925065864879210935","4590992052",
"1924793432574460240","Wed May 21 05:46:46 +0000 2025","0","@AyahnyaVia01 @Clownik_ @randomable_ 6m setahun buat barak ini ini baru angkatan pertama nanti selama ada tawuran dan anak nakal pasti tetep berlanjut dan dananya dari 6 m ini maksud mas nya pengen di rinci kali ya dari biaya maklan biaya bayar TNI nya biaya sewa bus buat anak anak ke baraknya gitu kah??","1925065713469067374","","AyahnyaVia01","in","","0","0","0","https://x.com/undefined/status/1925065713469067374","4590992052",
"1924808242917736865","Wed May 21 05:44:34 +0000 2025","0","@ciloqciliq Anak nakal nih kirim dia ke barak kang dedi","1925065160198431212","","ciloqciliq","in","","0","0","0","https://x.com/undefined/status/1925065160198431212","589901096",
"1925064373913202881","Wed May 21 05:41:27 +0000 2025","0","Liat andre rosiade nelpon langsung KDM eh malah istrinya yg ngomong suruh masukin andre ke barak krn nakal","1925064373913202881","","","in","","0","0","0","https://x.com/undefined/status/1925064373913202881","394579467",
